Harvard,4.6,4.2
Stanford,4.3,4
UCLA,12.3,3.9
University of Virginia,23.9,4.3
University of Florida,36.6,3.8
Ohio State University,53.7,3.8
UofSanfrancisco,64.2,3.5
Michigan State University,71.1,3.7
LSU,74.6,3.4
Clarke University,94.2,3.4
