,Asian,White,Black,Other,Non Resident
Harvard,370,559,146,195,214
Stanford,413,488,116,292,205
UCLA,2134,1609,188,1325,490
University of Virginia,648,2143,268,250,201
University of Florida,777,3416,328,1333,250
Ohio State University,696,4777,484,455,676
UofSanfrancisco,292,314,91,263,193
Michigan State University,608,5883,627,521,657
LSU,289,4082,887,498,65
Clarke University,57,404,35,71,62
